               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10521,            0.028016,            0.029221,           0.0061166,             0.73737,             0.16194,            0.041978,            0.083156,            0.020986,             0.01147,            0.070556,           0.0032716,           0.0032716
                   1,            0.072954,            0.018558,           0.0082231,             0.76544,             0.45618,              0.4672,             0.17253,            0.061095,            0.012157,           0.0063832,            0.040534,           0.0065831,           0.0065831
                   2,            0.065972,            0.014571,           0.0065672,              0.6331,              0.4998,             0.38511,             0.13582,            0.060367,            0.012371,           0.0054333,             0.01049,           0.0098727,           0.0098727
                   3,            0.058225,            0.013223,           0.0050815,             0.82456,             0.54579,             0.71338,             0.22299,            0.052422,            0.015121,           0.0035269,            0.009901,            0.009901,            0.009901
                   4,            0.052606,            0.012565,           0.0038521,             0.58964,             0.73762,             0.67142,             0.24056,            0.053447,            0.011103,           0.0035715,            0.009901,            0.009901,            0.009901
                   5,            0.050109,            0.011868,           0.0029374,             0.53564,             0.77545,             0.70493,             0.25954,            0.051804,            0.010554,           0.0023872,            0.009868,            0.009868,            0.009868
                   6,            0.047967,            0.012127,           0.0025046,             0.71994,             0.79464,             0.76006,             0.28169,            0.054477,            0.011366,           0.0021641,            0.009835,            0.009835,            0.009835
                   7,            0.045744,            0.011822,           0.0020441,             0.85994,             0.81154,             0.87612,             0.36566,            0.043288,           0.0094655,           0.0014485,            0.009802,            0.009802,            0.009802
                   8,            0.045353,            0.011731,           0.0017283,             0.84717,             0.85884,             0.88231,             0.39165,            0.042454,           0.0095938,           0.0014566,            0.009769,            0.009769,            0.009769
                   9,            0.044211,            0.011734,           0.0018783,               0.722,             0.76629,             0.73011,              0.3022,            0.042853,            0.009514,           0.0017793,            0.009736,            0.009736,            0.009736
                  10,            0.043734,            0.011673,           0.0017227,             0.83896,             0.83872,             0.89529,             0.39957,            0.040766,           0.0094399,           0.0015812,            0.009703,            0.009703,            0.009703
                  11,            0.043016,            0.011407,           0.0013921,             0.80412,              0.7482,             0.80851,              0.2906,             0.04759,           0.0096038,           0.0021378,             0.00967,             0.00967,             0.00967
                  12,            0.042965,            0.011447,           0.0012884,             0.88721,             0.87972,             0.92047,             0.38868,            0.041649,            0.009597,           0.0011455,            0.009637,            0.009637,            0.009637
                  13,            0.042631,            0.011485,           0.0013607,             0.87147,             0.85818,              0.8974,             0.41505,            0.041986,           0.0094016,           0.0012933,            0.009604,            0.009604,            0.009604
                  14,             0.04161,            0.011184,           0.0015211,             0.84311,             0.89304,             0.91062,             0.38643,            0.045081,           0.0096115,           0.0010347,            0.009571,            0.009571,            0.009571
                  15,            0.041733,            0.011551,           0.0012819,             0.90312,             0.87223,             0.91023,             0.39772,            0.041927,           0.0094904,           0.0013149,            0.009538,            0.009538,            0.009538
                  16,            0.041661,            0.011356,           0.0013189,             0.70413,             0.74856,             0.77503,             0.32244,            0.044234,           0.0099436,           0.0025574,            0.009505,            0.009505,            0.009505
                  17,            0.041917,            0.011373,           0.0012233,             0.86897,             0.88695,             0.89641,             0.38896,            0.041276,           0.0093669,          0.00093145,            0.009472,            0.009472,            0.009472
                  18,            0.041136,            0.011389,           0.0010567,             0.87544,             0.83218,               0.901,             0.41903,            0.039891,           0.0092832,           0.0012982,            0.009439,            0.009439,            0.009439
                  19,            0.040597,            0.011401,           0.0010621,             0.92339,              0.8964,             0.94618,             0.44309,            0.038944,           0.0092425,          0.00069049,            0.009406,            0.009406,            0.009406
                  20,             0.04054,            0.011201,           0.0011388,             0.89512,              0.8488,             0.91532,             0.41979,            0.039443,           0.0093743,           0.0014052,            0.009373,            0.009373,            0.009373
                  21,            0.040808,            0.010938,           0.0010232,             0.88683,             0.90344,             0.92352,              0.4303,            0.039668,           0.0091073,           0.0006048,             0.00934,             0.00934,             0.00934
                  22,            0.040654,            0.011199,          0.00083896,             0.86966,             0.83908,             0.86428,             0.37416,            0.041476,           0.0094757,           0.0010426,            0.009307,            0.009307,            0.009307
                  23,            0.040443,            0.011041,           0.0010189,             0.90032,             0.88231,             0.91647,             0.41038,            0.039368,           0.0092719,          0.00071363,            0.009274,            0.009274,            0.009274
                  24,            0.039799,            0.011166,          0.00089719,             0.89385,             0.90148,             0.93296,             0.42871,            0.038451,           0.0091902,          0.00060844,            0.009241,            0.009241,            0.009241
                  25,            0.039562,             0.01104,          0.00073301,             0.89017,             0.87391,             0.91431,             0.41307,            0.039169,           0.0092017,          0.00067651,            0.009208,            0.009208,            0.009208
                  26,            0.039951,            0.011152,           0.0007471,             0.91824,             0.89123,             0.94038,             0.44287,            0.038761,           0.0091848,          0.00068777,            0.009175,            0.009175,            0.009175
                  27,            0.039412,            0.011185,          0.00070002,             0.90018,             0.88289,             0.92433,             0.43078,            0.039263,             0.00929,          0.00042463,            0.009142,            0.009142,            0.009142
                  28,            0.039311,            0.010978,          0.00067249,             0.91718,             0.87216,             0.92342,             0.41809,            0.038448,           0.0093607,          0.00075063,            0.009109,            0.009109,            0.009109
                  29,            0.039388,            0.011197,          0.00093342,             0.91233,             0.83668,             0.90162,             0.42541,            0.039012,           0.0090719,            0.001556,            0.009076,            0.009076,            0.009076
                  30,            0.039292,             0.01113,          0.00093492,             0.90277,             0.88816,             0.92661,             0.43058,            0.039357,           0.0093836,          0.00081386,            0.009043,            0.009043,            0.009043
                  31,             0.03974,            0.010958,          0.00092252,             0.85433,             0.87315,             0.88518,             0.40536,            0.039761,           0.0091585,            0.001578,             0.00901,             0.00901,             0.00901
                  32,            0.038983,            0.011153,          0.00073678,             0.92762,             0.89171,             0.94467,             0.45879,            0.037805,           0.0091252,          0.00048331,            0.008977,            0.008977,            0.008977
                  33,             0.03891,            0.011094,          0.00079184,             0.90753,             0.90043,             0.94297,             0.44443,            0.038655,           0.0093633,          0.00050678,            0.008944,            0.008944,            0.008944
                  34,             0.03887,            0.011186,          0.00057188,             0.90642,             0.90225,             0.92981,             0.44574,            0.037618,           0.0091192,          0.00077285,            0.008911,            0.008911,            0.008911
                  35,            0.039075,            0.010927,          0.00063142,             0.90872,              0.8966,             0.92689,             0.43739,            0.038701,           0.0090814,          0.00033696,            0.008878,            0.008878,            0.008878
                  36,            0.038867,            0.010867,           0.0006755,             0.92235,             0.84448,             0.91602,             0.42876,            0.038233,           0.0091688,           0.0010453,            0.008845,            0.008845,            0.008845
                  37,            0.038591,             0.01085,          0.00073672,             0.91556,             0.90967,             0.94267,             0.44578,            0.038031,           0.0090802,          0.00073882,            0.008812,            0.008812,            0.008812
                  38,            0.038622,            0.010812,          0.00065951,             0.90997,             0.87305,             0.92519,             0.44053,            0.037974,           0.0091455,          0.00056802,            0.008779,            0.008779,            0.008779
                  39,            0.038394,            0.010928,          0.00053022,             0.92642,             0.91202,             0.94435,              0.4549,             0.03798,            0.009188,          0.00060647,            0.008746,            0.008746,            0.008746
                  40,            0.038334,            0.010923,          0.00051408,             0.94224,             0.90402,             0.94955,             0.46748,            0.037736,           0.0091126,          0.00039239,            0.008713,            0.008713,            0.008713
                  41,            0.038417,            0.010956,          0.00045933,             0.93001,             0.89531,             0.94025,             0.45137,            0.038073,           0.0091576,          0.00061486,             0.00868,             0.00868,             0.00868
                  42,            0.038618,             0.01087,           0.0005999,             0.93814,             0.88276,             0.93021,             0.44925,            0.038442,           0.0093723,          0.00057712,            0.008647,            0.008647,            0.008647
                  43,            0.038408,            0.010775,          0.00062549,              0.9363,             0.89939,             0.94012,             0.43352,            0.038273,            0.009238,          0.00025828,            0.008614,            0.008614,            0.008614
                  44,            0.038096,             0.01078,          0.00060572,             0.94168,             0.90562,              0.9504,             0.46178,            0.037338,           0.0089872,          0.00037349,            0.008581,            0.008581,            0.008581
                  45,            0.038037,            0.010708,          0.00063145,             0.91028,             0.88205,             0.92906,             0.43842,            0.038564,           0.0091482,          0.00061776,            0.008548,            0.008548,            0.008548
                  46,            0.038341,            0.010749,          0.00064831,             0.94223,             0.89812,             0.94328,             0.46169,            0.037447,           0.0090854,           0.0005067,            0.008515,            0.008515,            0.008515
                  47,            0.037927,            0.010869,          0.00074058,             0.88285,             0.85294,             0.89611,              0.4135,            0.040088,            0.009506,          0.00060812,            0.008482,            0.008482,            0.008482
                  48,            0.038012,            0.010858,          0.00055516,             0.92941,              0.9183,             0.94065,             0.44092,            0.038126,           0.0092485,          0.00036753,            0.008449,            0.008449,            0.008449
                  49,            0.037874,            0.010803,          0.00043737,             0.90421,             0.91175,             0.94687,             0.44871,            0.037883,           0.0091884,          0.00059292,            0.008416,            0.008416,            0.008416
                  50,            0.037809,            0.010754,           0.0006116,             0.90006,             0.88759,             0.92168,             0.43061,            0.038109,            0.009282,          0.00089628,            0.008383,            0.008383,            0.008383
                  51,            0.037797,            0.010749,          0.00067932,             0.93406,             0.91398,             0.94886,             0.46331,            0.037605,           0.0090748,          0.00038563,             0.00835,             0.00835,             0.00835
                  52,            0.038018,            0.010799,          0.00048245,             0.92736,             0.90784,             0.93694,             0.45908,            0.037498,           0.0090908,          0.00026835,            0.008317,            0.008317,            0.008317
                  53,            0.037367,            0.010882,          0.00056795,             0.91016,             0.87254,             0.93169,             0.44803,            0.038882,           0.0092983,          0.00063608,            0.008284,            0.008284,            0.008284
                  54,            0.038347,              0.0106,          0.00047772,             0.93166,              0.8958,             0.94178,             0.44453,            0.037885,           0.0091686,          0.00035304,            0.008251,            0.008251,            0.008251
                  55,            0.037636,            0.010842,          0.00048919,             0.93107,             0.90925,             0.94903,             0.45796,            0.037425,           0.0090707,          0.00035864,            0.008218,            0.008218,            0.008218
                  56,            0.037435,             0.01076,          0.00048755,              0.9334,             0.89257,             0.94354,             0.46047,             0.03727,           0.0090677,          0.00030452,            0.008185,            0.008185,            0.008185
                  57,            0.037391,            0.010733,          0.00054381,             0.93646,             0.90564,             0.95556,             0.47445,            0.037107,            0.009017,          0.00036366,            0.008152,            0.008152,            0.008152
                  58,            0.037185,            0.010579,           0.0004091,             0.91615,             0.90864,             0.95052,             0.45645,            0.038018,           0.0091006,          0.00033158,            0.008119,            0.008119,            0.008119
                  59,            0.037178,            0.010592,          0.00044998,             0.92214,             0.89452,             0.94073,             0.45043,            0.037358,           0.0090767,           0.0004541,            0.008086,            0.008086,            0.008086
                  60,            0.036964,            0.010911,          0.00037658,             0.92608,             0.90323,             0.94793,             0.47315,            0.036721,           0.0090487,          0.00030249,            0.008053,            0.008053,            0.008053
                  61,            0.036968,            0.010516,          0.00043048,             0.93066,             0.90498,             0.94645,             0.46306,            0.037079,           0.0091204,          0.00034329,             0.00802,             0.00802,             0.00802
                  62,             0.03763,            0.010773,          0.00035827,              0.9146,             0.88818,             0.93736,             0.45613,            0.037106,           0.0090764,          0.00039979,            0.007987,            0.007987,            0.007987
                  63,            0.037073,            0.010698,          0.00036097,             0.94693,             0.91623,             0.95476,             0.47155,            0.037096,           0.0090275,            0.000282,            0.007954,            0.007954,            0.007954
                  64,            0.036989,            0.010527,          0.00052417,             0.91343,             0.90574,             0.94571,             0.47435,            0.037169,           0.0091333,          0.00037235,            0.007921,            0.007921,            0.007921
                  65,             0.03665,            0.010707,          0.00037985,              0.9231,             0.88951,             0.93731,             0.44765,            0.037269,            0.009107,          0.00050282,            0.007888,            0.007888,            0.007888
                  66,            0.036923,            0.010499,          0.00035842,              0.9416,             0.90623,             0.94585,             0.47299,            0.037271,           0.0090942,          0.00027346,            0.007855,            0.007855,            0.007855
                  67,             0.03709,            0.010798,          0.00041325,             0.91132,             0.91714,             0.94681,             0.46578,             0.03719,            0.009099,          0.00033587,            0.007822,            0.007822,            0.007822
                  68,            0.036673,            0.010671,          0.00044166,             0.91843,             0.89149,             0.94485,              0.4603,            0.037337,           0.0090858,          0.00045803,            0.007789,            0.007789,            0.007789
                  69,            0.036769,            0.010577,          0.00034948,             0.92285,             0.90264,             0.93748,             0.45283,            0.037257,           0.0091466,          0.00052526,            0.007756,            0.007756,            0.007756
                  70,            0.036707,            0.010768,          0.00028794,             0.93783,             0.91648,             0.95442,             0.46248,            0.036895,           0.0090129,          0.00024729,            0.007723,            0.007723,            0.007723
                  71,            0.036363,             0.01061,          0.00031797,             0.93774,             0.90828,             0.94998,             0.46845,            0.037318,            0.009091,          0.00031749,             0.00769,             0.00769,             0.00769
                  72,            0.036478,            0.010541,          0.00063335,             0.92449,             0.92829,             0.95623,             0.46874,            0.037222,           0.0090468,          0.00035331,            0.007657,            0.007657,            0.007657
                  73,             0.03663,            0.010953,          0.00059522,             0.92414,             0.91054,             0.93832,             0.45897,            0.037556,           0.0091411,          0.00065595,            0.007624,            0.007624,            0.007624
                  74,            0.036761,            0.010451,           0.0004287,             0.91884,             0.91376,             0.94648,             0.46492,              0.0376,           0.0091478,          0.00032175,            0.007591,            0.007591,            0.007591
                  75,            0.036311,             0.01059,          0.00036523,             0.92685,             0.91862,             0.94557,             0.45831,            0.037482,           0.0091446,           0.0002864,            0.007558,            0.007558,            0.007558
                  76,            0.036332,            0.010589,          0.00042335,             0.91317,             0.92564,             0.94895,             0.46975,            0.037414,           0.0090919,          0.00024095,            0.007525,            0.007525,            0.007525
                  77,            0.036446,            0.010212,          0.00045995,             0.94748,             0.91468,             0.95626,             0.46884,            0.037322,           0.0090723,          0.00023751,            0.007492,            0.007492,            0.007492
                  78,            0.036027,            0.010352,          0.00030188,             0.93674,             0.92314,              0.9538,             0.47002,            0.037295,           0.0090637,          0.00028285,            0.007459,            0.007459,            0.007459
                  79,             0.03626,            0.010556,          0.00031038,             0.93717,              0.9043,             0.95117,             0.46335,            0.037053,           0.0090607,          0.00024791,            0.007426,            0.007426,            0.007426
                  80,             0.03603,            0.010399,          0.00031252,             0.93847,             0.92736,             0.95735,             0.46864,            0.036924,           0.0090335,          0.00031702,            0.007393,            0.007393,            0.007393
                  81,            0.035949,            0.010513,          0.00035801,              0.9351,             0.91919,             0.94399,             0.45985,             0.03694,           0.0090862,          0.00024438,             0.00736,             0.00736,             0.00736
                  82,             0.03592,            0.010405,          0.00036526,             0.93069,             0.91469,             0.94197,             0.46117,             0.03719,           0.0090625,          0.00027042,            0.007327,            0.007327,            0.007327
                  83,            0.035863,            0.010586,          0.00037122,             0.94618,             0.89921,             0.95107,             0.46946,            0.037007,           0.0090103,          0.00028258,            0.007294,            0.007294,            0.007294
                  84,            0.035562,            0.010595,          0.00023986,             0.93293,             0.92128,             0.95185,             0.47386,            0.036778,           0.0090279,          0.00024662,            0.007261,            0.007261,            0.007261
                  85,            0.035889,            0.010588,            0.000281,             0.93181,             0.89985,             0.94151,             0.45909,            0.037288,           0.0090922,          0.00021386,            0.007228,            0.007228,            0.007228
                  86,            0.035722,            0.010434,           0.0003184,             0.93602,             0.91679,             0.94798,             0.46475,            0.036642,           0.0089974,          0.00031671,            0.007195,            0.007195,            0.007195
                  87,             0.03559,            0.010237,          0.00027827,             0.92976,             0.89326,             0.93449,             0.45696,            0.037357,           0.0091147,          0.00035013,            0.007162,            0.007162,            0.007162
                  88,            0.035682,            0.010354,          0.00031388,             0.93316,             0.92352,             0.94809,             0.47527,            0.036754,           0.0090497,          0.00020058,            0.007129,            0.007129,            0.007129
                  89,            0.035694,            0.010415,          0.00046404,             0.93493,             0.92562,             0.95162,             0.46578,            0.037031,           0.0089996,          0.00020295,            0.007096,            0.007096,            0.007096
                  90,            0.035729,            0.010444,          0.00036679,             0.90977,              0.9197,             0.93918,             0.46512,            0.037024,           0.0090814,          0.00021772,            0.007063,            0.007063,            0.007063
                  91,            0.035493,            0.010237,          0.00043918,              0.9476,             0.91473,             0.95663,             0.47841,            0.036953,           0.0090516,          0.00020342,             0.00703,             0.00703,             0.00703
                  92,            0.035587,            0.010507,          0.00030899,             0.94065,             0.90698,             0.95009,             0.46921,            0.036995,           0.0091474,          0.00023797,            0.006997,            0.006997,            0.006997
                  93,            0.034909,            0.010626,          0.00037433,             0.93643,             0.92837,             0.95449,             0.47192,            0.036763,           0.0089972,          0.00024242,            0.006964,            0.006964,            0.006964
                  94,            0.035428,            0.010488,          0.00032115,              0.9322,             0.91958,             0.94575,              0.4664,            0.036715,           0.0090429,          0.00017175,            0.006931,            0.006931,            0.006931
                  95,            0.035715,            0.010425,          0.00028435,             0.93621,             0.90636,             0.94794,              0.4699,            0.036697,           0.0090035,          0.00020517,            0.006898,            0.006898,            0.006898
                  96,            0.035291,            0.010242,          0.00035328,              0.9321,             0.89493,              0.9373,             0.45145,            0.037812,           0.0093119,           0.0002802,            0.006865,            0.006865,            0.006865
                  97,            0.034855,            0.010211,          0.00025805,             0.93408,             0.90979,             0.94795,             0.46627,            0.037564,            0.009164,          0.00022901,            0.006832,            0.006832,            0.006832
