               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09113,            0.025624,            0.021487,              0.6272,             0.42149,             0.29709,            0.097046,            0.068293,            0.012672,            0.007582,             0.07014,           0.0033178,           0.0033178
                   1,            0.066762,            0.016189,            0.006698,             0.73989,             0.48444,             0.45927,             0.16217,             0.05408,            0.010664,           0.0069909,            0.040008,           0.0065194,           0.0065194
                   2,            0.061412,            0.014226,           0.0062427,             0.80849,             0.54842,              0.5406,             0.20997,            0.050223,           0.0099131,           0.0058891,           0.0097448,            0.009589,            0.009589
                   3,            0.055436,            0.013045,           0.0054302,             0.85392,             0.54272,             0.65279,             0.25091,            0.048002,           0.0096555,           0.0045647,            0.009406,            0.009406,            0.009406
                   4,            0.051987,            0.012484,           0.0037221,             0.80751,             0.75074,             0.79749,             0.31654,            0.046677,           0.0093485,           0.0029735,            0.009406,            0.009406,            0.009406
                   5,            0.048682,            0.012351,           0.0029603,             0.81072,             0.69995,             0.77061,              0.2982,            0.045229,            0.009149,           0.0018215,            0.009208,            0.009208,            0.009208
                   6,            0.046656,            0.012035,           0.0020762,             0.83192,             0.81273,             0.87886,             0.38427,            0.043145,           0.0090141,           0.0016502,             0.00901,             0.00901,             0.00901
                   7,            0.045849,            0.011926,           0.0027002,             0.78436,             0.79892,             0.83026,             0.34455,            0.043887,           0.0089205,           0.0027976,            0.008812,            0.008812,            0.008812
                   8,            0.044455,            0.011862,           0.0018467,             0.81413,             0.76964,             0.83535,             0.37399,            0.040856,           0.0087385,            0.002555,            0.008614,            0.008614,            0.008614
                   9,            0.043902,            0.011833,           0.0017442,              0.7755,             0.79709,             0.82498,             0.31908,            0.043085,           0.0088067,            0.001464,            0.008416,            0.008416,            0.008416
                  10,            0.043144,            0.011612,           0.0017158,             0.78601,             0.79245,             0.85932,              0.3586,            0.041875,           0.0086932,           0.0031252,            0.008218,            0.008218,            0.008218
                  11,            0.042614,            0.011785,            0.001779,             0.86349,             0.87309,             0.90672,              0.4027,            0.040207,           0.0087229,           0.0011101,             0.00802,             0.00802,             0.00802
                  12,            0.041841,            0.011566,            0.001362,              0.8887,             0.79481,              0.8808,             0.39982,            0.039879,           0.0086644,           0.0010277,            0.007822,            0.007822,            0.007822
                  13,            0.041825,            0.011747,           0.0010661,             0.87067,             0.86555,             0.89662,             0.39136,            0.040415,           0.0087299,           0.0010656,            0.007624,            0.007624,            0.007624
                  14,            0.041306,            0.011549,          0.00093528,             0.85845,             0.88001,             0.91541,              0.4248,            0.039455,           0.0086151,          0.00085198,            0.007426,            0.007426,            0.007426
                  15,            0.040689,            0.011463,           0.0012043,             0.89957,             0.79481,             0.88127,             0.41846,            0.038818,           0.0085539,          0.00076212,            0.007228,            0.007228,            0.007228
                  16,            0.040111,            0.011279,          0.00086292,              0.8661,             0.86264,             0.91075,             0.43398,            0.039094,           0.0085926,          0.00077885,             0.00703,             0.00703,             0.00703
                  17,            0.040314,            0.011522,           0.0012304,             0.83078,             0.83456,             0.86589,             0.39104,            0.039343,           0.0086116,           0.0014115,            0.006832,            0.006832,            0.006832
                  18,            0.039955,             0.01131,           0.0010274,             0.89524,             0.89846,             0.92708,              0.4078,             0.03969,           0.0084953,          0.00054567,            0.006634,            0.006634,            0.006634
                  19,            0.039369,            0.011311,          0.00085229,             0.89099,             0.86655,             0.92263,             0.42378,            0.038647,           0.0084708,          0.00077689,            0.006436,            0.006436,            0.006436
                  20,            0.039223,            0.011353,          0.00082806,             0.87412,             0.81875,             0.88017,             0.38366,            0.039969,           0.0085567,          0.00080836,            0.006238,            0.006238,            0.006238
                  21,            0.038995,             0.01115,          0.00076514,             0.88503,             0.82367,             0.89702,             0.38609,            0.039266,           0.0084934,          0.00098847,             0.00604,             0.00604,             0.00604
                  22,            0.038938,            0.011126,          0.00075987,             0.84715,             0.81325,             0.86715,             0.38711,            0.039597,           0.0085769,           0.0015125,            0.005842,            0.005842,            0.005842
                  23,             0.03895,            0.011225,          0.00096518,              0.8674,             0.83215,             0.87586,             0.39902,             0.04002,           0.0086647,          0.00057903,            0.005644,            0.005644,            0.005644
                  24,            0.038534,             0.01101,          0.00075809,             0.89288,             0.86481,             0.92114,             0.42829,            0.038474,           0.0084313,           0.0004688,            0.005446,            0.005446,            0.005446
                  25,             0.03826,            0.011264,          0.00069956,             0.88997,             0.86279,             0.90618,             0.43321,            0.038035,           0.0084174,          0.00098436,            0.005248,            0.005248,            0.005248
                  26,            0.038061,             0.01099,          0.00048617,             0.88319,             0.87788,             0.92669,              0.4084,            0.038771,           0.0084628,          0.00049776,             0.00505,             0.00505,             0.00505
                  27,            0.037983,             0.01112,          0.00054529,             0.88317,             0.88268,             0.91895,             0.42213,             0.03817,           0.0085025,          0.00040716,            0.004852,            0.004852,            0.004852
                  28,               0.038,            0.011148,          0.00057745,             0.89735,              0.8967,             0.92967,             0.43309,            0.038114,           0.0083869,          0.00038212,            0.004654,            0.004654,            0.004654
                  29,            0.037815,             0.01098,          0.00044103,             0.91289,              0.9049,             0.93231,             0.42478,            0.038325,           0.0084108,           0.0003356,            0.004456,            0.004456,            0.004456
                  30,            0.037315,            0.011077,          0.00037114,             0.89462,             0.87767,             0.91317,             0.43154,            0.038019,           0.0083981,          0.00045306,            0.004258,            0.004258,            0.004258
                  31,            0.037501,            0.010824,          0.00046905,             0.92404,             0.87343,             0.92697,             0.42009,            0.038802,           0.0084489,          0.00056647,             0.00406,             0.00406,             0.00406
                  32,            0.037408,            0.011188,          0.00039057,              0.9014,             0.85847,             0.90063,             0.42564,            0.038111,           0.0084218,          0.00069725,            0.003862,            0.003862,            0.003862
                  33,            0.037098,            0.010988,          0.00040235,              0.8571,             0.90977,             0.92782,             0.42137,            0.038437,           0.0085016,           0.0004069,            0.003664,            0.003664,            0.003664
                  34,            0.037016,            0.010984,          0.00064866,             0.90577,             0.87475,             0.92241,             0.43709,            0.037992,            0.008326,          0.00031011,            0.003466,            0.003466,            0.003466
                  35,            0.036629,             0.01096,          0.00038202,             0.91352,             0.88616,             0.92325,             0.42691,            0.038168,            0.008436,           0.0001889,            0.003268,            0.003268,            0.003268
                  36,            0.036631,            0.010962,          0.00042141,             0.92333,             0.89415,             0.93044,             0.45587,            0.037415,           0.0082851,           0.0002323,             0.00307,             0.00307,             0.00307
                  37,            0.036493,             0.01068,          0.00033558,             0.88977,             0.89233,             0.91974,             0.42575,            0.038266,           0.0084164,          0.00020849,            0.002872,            0.002872,            0.002872
                  38,            0.036499,            0.010774,          0.00032482,             0.89163,             0.90688,             0.92967,             0.43303,            0.037876,           0.0083608,          0.00029462,            0.002674,            0.002674,            0.002674
                  39,            0.036078,            0.010859,          0.00035584,             0.90878,             0.89964,             0.93014,             0.43645,            0.037505,           0.0083376,          0.00024372,            0.002476,            0.002476,            0.002476
                  40,            0.036046,            0.010749,          0.00028059,             0.89269,             0.88041,             0.90715,             0.43696,            0.037658,           0.0083374,          0.00027099,            0.002278,            0.002278,            0.002278
                  41,            0.036048,            0.010712,          0.00021455,             0.89842,             0.87607,             0.91088,             0.42639,            0.037451,           0.0082707,          0.00024453,             0.00208,             0.00208,             0.00208
                  42,            0.035922,            0.010735,          0.00024734,             0.88642,             0.91187,             0.91547,              0.4303,            0.037822,           0.0083108,          0.00017738,            0.001882,            0.001882,            0.001882
                  43,            0.035383,            0.010487,          0.00028331,             0.88136,             0.91161,             0.92098,             0.43375,            0.037135,           0.0082814,          0.00018819,            0.001684,            0.001684,            0.001684
                  44,            0.035383,            0.010437,           0.0002872,             0.87036,             0.89822,             0.91786,             0.43854,            0.037205,           0.0082967,          0.00029633,            0.001486,            0.001486,            0.001486
                  45,            0.035541,            0.010527,          0.00018175,             0.86359,              0.9049,              0.9071,             0.43164,            0.037599,           0.0083316,          0.00015557,            0.001288,            0.001288,            0.001288
                  46,            0.035199,            0.010685,          0.00020668,             0.90705,             0.90594,             0.92331,             0.44057,            0.037235,           0.0082703,          0.00013407,             0.00109,             0.00109,             0.00109
                  47,            0.034772,            0.010317,          0.00022464,             0.88768,             0.90986,             0.91775,             0.43975,            0.037253,           0.0082967,          0.00013088,            0.000892,            0.000892,            0.000892
                  48,            0.034733,            0.010463,          0.00017022,              0.8963,             0.88281,             0.92233,             0.44061,            0.037309,           0.0082963,           0.0001008,            0.000694,            0.000694,            0.000694
                  49,            0.034783,            0.010525,           0.0001234,             0.90314,             0.89878,             0.91708,             0.44094,             0.03724,           0.0082889,          8.9448e-05,            0.000496,            0.000496,            0.000496
