               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11302,             0.08428,                   0,             0.10593,             0.17019,            0.054354,            0.012515,            0.098287,             0.07059,                   0,              0.0838,              0.0018,              0.0018
                   1,            0.088761,            0.092805,                   0,             0.12962,             0.35031,            0.090152,            0.025063,            0.086187,             0.18243,                   0,            0.066688,           0.0036878,           0.0036878
                   2,             0.07332,            0.077821,                   0,             0.26242,             0.49938,             0.24701,            0.068526,            0.081469,            0.095912,                   0,            0.049563,            0.005563,            0.005563
                   3,            0.075026,            0.071487,                   0,             0.35378,              0.5205,             0.47595,              0.2011,            0.067456,              0.0525,                   0,            0.032426,           0.0074258,           0.0074258
                   4,            0.073083,            0.063349,                   0,              0.5335,             0.63354,             0.55349,             0.20416,            0.071864,            0.058105,                   0,            0.015276,           0.0092759,           0.0092759
                   5,            0.066103,            0.070989,                   0,             0.50863,             0.69317,             0.53026,             0.21715,            0.061537,            0.052653,                   0,            0.009835,            0.009835,            0.009835
                   6,            0.068379,            0.065288,                   0,             0.57715,             0.64348,             0.66377,             0.32453,            0.061726,            0.054914,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.059885,            0.066505,                   0,             0.80917,              0.8236,             0.87522,             0.43168,            0.047666,             0.04864,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.051219,            0.069351,                   0,             0.71661,             0.80373,             0.84514,             0.43309,             0.04439,            0.049919,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.048765,            0.057579,                   0,             0.59549,             0.80621,             0.71531,             0.34009,            0.051694,            0.054151,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.045839,            0.064983,                   0,             0.89397,             0.90073,             0.94747,             0.48501,            0.041072,            0.049283,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.045162,            0.056877,                   0,             0.69836,             0.86858,             0.82691,             0.42307,             0.04682,            0.045972,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.044093,            0.065187,                   0,             0.80169,             0.87081,             0.88065,             0.53433,            0.041687,            0.044963,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.038541,            0.056375,                   0,             0.64259,             0.90008,             0.83883,             0.49948,            0.040021,            0.048078,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.038448,            0.063803,                   0,             0.92909,              0.9354,             0.96857,             0.63354,            0.030099,            0.042344,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.039293,            0.062628,                   0,             0.91784,             0.92298,             0.96257,             0.60405,            0.037332,            0.043619,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.03933,            0.052896,                   0,              0.9285,             0.93168,             0.96287,             0.54269,            0.037486,             0.04392,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.038118,            0.063705,                   0,             0.96614,             0.92156,             0.97009,             0.64885,            0.028232,             0.03973,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.036195,            0.057799,                   0,             0.95892,             0.92795,              0.9739,             0.64577,             0.02954,             0.04001,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.033328,            0.061809,                   0,             0.95928,             0.93641,             0.97851,             0.66568,            0.028119,            0.046918,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.031946,            0.054777,                   0,             0.94729,             0.91429,             0.96303,             0.59167,            0.034299,            0.042751,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034827,            0.051766,                   0,             0.96208,              0.9456,             0.98024,             0.66375,            0.028079,            0.039808,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.032443,            0.057371,                   0,               0.965,             0.92919,              0.9747,             0.66871,            0.029334,            0.040576,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.030813,            0.055933,                   0,             0.96453,             0.92422,             0.97104,              0.6767,            0.029776,            0.041028,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.033661,            0.049521,                   0,             0.96185,             0.92919,             0.97072,              0.7028,            0.027381,            0.040174,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.033873,            0.057757,                   0,             0.97294,             0.93798,             0.97603,             0.70099,            0.026614,            0.040651,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.030171,            0.056613,                   0,             0.96492,             0.93789,             0.97742,             0.70905,            0.025822,            0.041129,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.029226,            0.050245,                   0,             0.96624,              0.9354,             0.97984,             0.68103,            0.029887,            0.040082,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.032242,            0.053147,                   0,             0.96768,             0.93789,             0.97897,             0.69402,            0.027244,            0.039141,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.031924,            0.060336,                   0,             0.97735,             0.94037,             0.98069,             0.70237,            0.025147,            0.040677,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.027622,            0.055678,                   0,             0.97274,             0.93072,             0.97859,             0.73349,            0.023756,            0.038687,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.028667,            0.054182,                   0,             0.96812,             0.94316,             0.97975,             0.70757,            0.027078,            0.040377,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.030253,            0.057133,                   0,             0.96703,             0.94728,             0.98113,             0.69054,            0.029564,            0.041261,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.029809,            0.054224,                   0,             0.96609,              0.9354,             0.97728,             0.70016,            0.027165,            0.041154,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.029137,            0.049732,                   0,             0.95962,             0.94462,             0.98147,             0.68833,            0.030235,            0.042077,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.030333,              0.0502,                   0,             0.95483,             0.94536,             0.97829,             0.70034,            0.025651,            0.039124,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.029991,            0.051286,                   0,             0.96766,             0.93292,              0.9727,             0.72995,            0.024317,            0.038891,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.029339,            0.048704,                   0,             0.97838,             0.93292,             0.98092,             0.71415,            0.023834,            0.038831,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.027468,            0.050373,                   0,             0.98284,             0.92422,             0.97225,             0.71303,            0.025114,            0.039628,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.028446,            0.048539,                   0,             0.96728,             0.93665,             0.97853,             0.70968,             0.02576,             0.03971,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.028459,            0.050638,                   0,             0.96652,             0.94037,             0.98015,              0.7085,             0.02541,            0.038658,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.028533,            0.052137,                   0,             0.97861,             0.93416,             0.97944,             0.69982,            0.026087,            0.039455,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.026842,            0.055149,                   0,             0.95849,              0.9465,             0.98055,             0.72267,            0.024874,            0.040277,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026757,            0.052026,                   0,             0.96314,              0.9441,             0.98292,             0.73011,            0.024338,            0.038963,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.026779,            0.048399,                   0,              0.9679,             0.94783,             0.98334,              0.7485,            0.023005,            0.038207,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.027711,            0.051081,                   0,             0.96395,             0.93416,             0.97144,             0.72466,             0.02502,            0.039422,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.028858,            0.055715,                   0,             0.96716,             0.95116,             0.98039,             0.71495,            0.025478,            0.039767,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.026133,            0.048473,                   0,             0.96332,              0.9461,             0.98091,             0.74155,            0.023065,            0.037961,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027818,            0.048895,                   0,             0.96114,              0.9441,              0.9766,             0.72775,            0.024514,             0.03884,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.026279,            0.050728,                   0,             0.97693,             0.94907,              0.9797,             0.74018,            0.023325,            0.039466,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.026048,            0.046944,                   0,             0.97477,             0.93913,              0.9802,             0.74573,            0.023321,             0.03834,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.025817,            0.055001,                   0,             0.97391,             0.94286,             0.98239,              0.7485,            0.022195,            0.038395,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.023664,            0.048238,                   0,             0.96665,             0.93789,             0.97857,             0.73284,             0.02325,            0.040714,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.025986,            0.048776,                   0,             0.96922,             0.93886,             0.98048,             0.73869,            0.022634,            0.038821,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025308,            0.052482,                   0,             0.95613,              0.9205,             0.96712,             0.69603,            0.025873,            0.041473,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026292,            0.046771,                   0,             0.97085,             0.95171,             0.98032,             0.72193,             0.02361,            0.038362,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026001,            0.050174,                   0,             0.97326,             0.95155,             0.98009,             0.70337,            0.027641,            0.040295,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.026437,            0.046237,                   0,             0.97177,              0.9441,             0.97927,             0.73484,            0.023068,            0.038353,                   0,            0.008152,            0.008152,            0.008152
