epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
1,0.61896873,1.0,0.04742177,0.61870178,1.0,0.04675439,True,693.4,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
2,0.61896574,1.0,0.04741428,0.61870178,1.0,0.04675439,False,707.86,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
3,0.61896535,1.0,0.04741333,0.61870178,1.0,0.04675439,False,705.28,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
4,0.61896513,1.0,0.04741276,0.61870178,1.0,0.04675439,False,788.85,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
5,0.61895664,1.0,0.04739154,0.61870178,1.0,0.04675439,False,708.08,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
6,0.61897523,1.0,0.04743802,0.61870178,1.0,0.04675439,False,706.91,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
7,0.61897475,1.0,0.04743682,0.61870178,1.0,0.04675439,False,706.88,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
8,0.61897009,1.0,0.04742517,0.61870178,1.0,0.04675439,False,707.38,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
9,0.6189443,1.0,0.04736069,0.61870178,1.0,0.04675439,False,706.41,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
10,0.61896515,1.0,0.04741282,0.61870178,1.0,0.04675439,False,705.62,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
11,0.61894555,1.0,0.04736383,0.61870178,1.0,0.04675439,False,705.33,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
12,0.61896829,1.0,0.04742066,0.61870178,1.0,0.04675439,False,707.8,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
13,0.61895611,1.0,0.04739022,0.61870178,1.0,0.04675439,False,707.12,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
14,0.61896315,1.0,0.04740782,0.61870178,1.0,0.04675439,False,706.44,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
15,0.61896635,1.0,0.04741582,0.61870178,1.0,0.04675439,False,707.89,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
16,0.61897816,1.0,0.04744535,0.61870178,1.0,0.04675439,False,707.54,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
17,0.61896597,1.0,0.04741487,0.61870178,1.0,0.04675439,False,705.93,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
18,0.61896136,1.0,0.04740335,0.61870178,1.0,0.04675439,False,708.23,0.0,0.0,0.0,0.0,859,0,0.0,0.0,0.0,0.0,976,0,0.0,0.0,0.0,0.0,62,0,0.0,0.0,0.0,0.0
