               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10524,            0.027959,            0.028614,             0.46355,             0.43614,             0.17551,            0.044685,            0.077216,            0.019462,            0.011451,            0.070556,           0.0032716,           0.0032716
                   1,             0.07333,            0.018299,           0.0084074,             0.55275,             0.43719,             0.23374,            0.068684,             0.06862,            0.011485,           0.0072372,            0.040534,           0.0065831,           0.0065831
                   2,            0.065529,            0.014715,           0.0071097,             0.70048,             0.50779,             0.46718,              0.1635,            0.060725,            0.015442,           0.0055884,             0.01049,           0.0098727,           0.0098727
                   3,            0.057465,              0.0132,           0.0057774,             0.76611,             0.51725,             0.58276,             0.18977,            0.058782,            0.013958,           0.0038423,            0.009901,            0.009901,            0.009901
                   4,              0.0519,            0.012358,           0.0039127,             0.66254,             0.70943,             0.71283,             0.27403,            0.049385,            0.010733,           0.0039037,            0.009901,            0.009901,            0.009901
                   5,            0.049995,            0.012242,           0.0035639,              0.7069,             0.76264,             0.76922,             0.31112,              0.0495,            0.010602,           0.0023701,            0.009868,            0.009868,            0.009868
                   6,            0.048052,            0.011944,            0.002723,              0.8328,             0.80212,             0.84868,             0.32006,            0.047701,            0.010303,           0.0016038,            0.009835,            0.009835,            0.009835
                   7,            0.046182,            0.012072,           0.0019971,             0.80478,             0.74747,             0.82384,             0.35012,            0.045264,           0.0096276,           0.0025172,            0.009802,            0.009802,            0.009802
                   8,            0.045183,            0.011942,           0.0019324,             0.81699,             0.82506,             0.86672,             0.35969,            0.045506,           0.0097329,           0.0015362,            0.009769,            0.009769,            0.009769
                   9,            0.044746,            0.011783,           0.0016914,             0.79118,             0.77195,             0.77923,              0.3196,            0.043675,           0.0096516,           0.0027824,            0.009736,            0.009736,            0.009736
                  10,             0.04392,            0.011585,           0.0015176,             0.83279,             0.78993,             0.84972,             0.35862,            0.044256,           0.0098406,           0.0021794,            0.009703,            0.009703,            0.009703
                  11,            0.043318,             0.01174,           0.0016614,             0.82431,             0.80089,             0.85119,             0.29621,            0.050335,           0.0099476,           0.0010719,             0.00967,             0.00967,             0.00967
                  12,            0.042571,            0.011629,           0.0012721,             0.78624,             0.74327,             0.77169,             0.29637,            0.046041,            0.010005,           0.0031224,            0.009637,            0.009637,            0.009637
                  13,             0.04292,            0.011494,           0.0017567,              0.8571,             0.84551,             0.87533,             0.39022,            0.040595,           0.0094002,           0.0012279,            0.009604,            0.009604,            0.009604
                  14,            0.042373,            0.011073,          0.00096705,             0.85962,             0.84598,             0.88581,             0.40344,            0.042293,           0.0093632,          0.00093215,            0.009571,            0.009571,            0.009571
                  15,            0.041945,            0.011438,            0.001336,             0.83534,             0.82553,             0.85741,             0.36128,            0.043808,           0.0096099,           0.0010055,            0.009538,            0.009538,            0.009538
                  16,            0.041576,            0.011331,           0.0012658,             0.79456,             0.85826,             0.86962,             0.39678,            0.041182,           0.0092421,           0.0012024,            0.009505,            0.009505,            0.009505
                  17,            0.041429,            0.011437,           0.0009496,             0.85463,             0.82701,             0.86537,              0.3985,            0.040561,           0.0091163,          0.00056734,            0.009472,            0.009472,            0.009472
                  18,            0.041205,            0.011406,           0.0010901,              0.8823,             0.83418,             0.88769,             0.41152,            0.040806,           0.0094367,           0.0012072,            0.009439,            0.009439,            0.009439
                  19,             0.04064,             0.01127,           0.0015765,             0.85142,             0.83457,             0.87746,             0.38739,            0.039288,           0.0092322,          0.00060615,            0.009406,            0.009406,            0.009406
                  20,            0.041095,            0.011368,           0.0010161,             0.87231,             0.84089,             0.89899,             0.38946,            0.040001,            0.009005,          0.00086174,            0.009373,            0.009373,            0.009373
                  21,            0.040686,            0.011163,           0.0007262,             0.86674,             0.87835,             0.91967,             0.42949,            0.038722,           0.0090521,          0.00079377,             0.00934,             0.00934,             0.00934
