epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
1,0.5685997,0.90830067,0.05904817,0.56913924,0.90993582,0.05794429,True,702.2,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
2,0.5686359,0.90833076,0.05909354,0.56915382,0.91005054,0.05780868,False,706.32,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
3,0.56860842,0.90829134,0.05908398,0.56910176,0.9094451,0.05858668,True,703.59,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
4,0.56858012,0.90823272,0.05910116,0.56910794,0.90909125,0.05913292,False,788.99,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
5,0.56862639,0.90832655,0.0590761,0.56921789,0.91044871,0.05737159,False,706.43,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
6,0.56856718,0.90825621,0.05903358,0.56928556,0.90836532,0.06066586,False,705.64,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
7,0.56854225,0.90813984,0.0591458,0.56915124,0.91003129,0.0578311,False,705.89,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
8,0.56856754,0.90823016,0.05907354,0.56914893,0.90877388,0.05971144,False,706.84,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
9,0.56855052,0.90817232,0.05911776,0.56910264,0.90919131,0.05896959,False,707.39,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
10,0.56861529,0.90830582,0.05907944,0.56912531,0.90891723,0.05943736,False,706.82,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
11,0.56855323,0.9081868,0.05910281,0.56910377,0.90950359,0.05850399,False,704.62,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
12,0.56860464,0.90827355,0.0591012,0.56911046,0.90962812,0.05833392,False,706.88,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
13,0.56858816,0.90826303,0.05907581,0.56912448,0.90892347,0.05942595,False,706.51,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
14,0.56866694,0.90838938,0.05908323,0.56911138,0.90904624,0.05920904,False,705.99,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
15,0.5685322,0.90812633,0.05914094,0.56926431,0.91068485,0.05713342,False,706.0,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
16,0.56865223,0.90839509,0.05903788,0.56911828,0.90897499,0.05933317,False,706.69,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
17,0.56852591,0.90814414,0.0590985,0.56921638,0.90852601,0.06025186,False,705.88,0.0,0.0,0.0,0.0,861,0,0.0,0.0,0.0,0.0,989,0,0.0,0.0,0.0,0.0,61,0,0.0,0.0,0.0,0.0
