epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
1,0.61899418,1.0,0.04748538,0.61855933,1.0,0.04639827,True,654.17,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
2,0.61898439,1.0,0.04746092,0.61855933,1.0,0.04639827,False,701.91,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
3,0.61901102,1.0,0.04752749,0.61855933,1.0,0.04639827,False,699.21,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
4,0.61899593,1.0,0.04748977,0.61855933,1.0,0.04639827,False,781.05,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
5,0.61899771,1.0,0.04749422,0.61855933,1.0,0.04639827,False,707.2,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
6,0.61901014,1.0,0.0475253,0.61855933,1.0,0.04639827,False,704.11,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
7,0.61899791,1.0,0.04749471,0.61855933,1.0,0.04639827,False,705.73,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
8,0.6189924,1.0,0.04748095,0.61855933,1.0,0.04639827,False,704.58,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
9,0.61900017,1.0,0.04750036,0.61855933,1.0,0.04639827,False,705.02,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
10,0.61898915,1.0,0.04747283,0.61855933,1.0,0.04639827,False,705.13,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
11,0.61899519,1.0,0.04748791,0.61855933,1.0,0.04639827,False,705.26,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
12,0.6189907,1.0,0.04747669,0.61855933,1.0,0.04639827,False,704.26,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
13,0.61901137,1.0,0.04752837,0.61855933,1.0,0.04639827,False,704.46,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
14,0.61901006,1.0,0.0475251,0.61855933,1.0,0.04639827,False,703.68,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
15,0.61899079,1.0,0.04747692,0.61855933,1.0,0.04639827,False,703.43,0.0,0.0,0.0,0.0,879,0,0.0,0.0,0.0,0.0,950,0,0.0,0.0,0.0,0.0,71,0,0.0,0.0,0.0,0.0
