               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10518,            0.027998,            0.028302,             0.55809,             0.12413,             0.15023,             0.03811,            0.073872,            0.020318,            0.010286,            0.070556,           0.0032716,           0.0032716
                   1,            0.073151,            0.018526,           0.0082944,             0.63274,             0.42509,             0.31081,            0.098488,             0.07458,            0.011657,           0.0063452,            0.040534,           0.0065831,           0.0065831
                   2,            0.065983,            0.014802,             0.00678,             0.59223,             0.41216,             0.35362,             0.11181,            0.068454,            0.012747,           0.0061364,             0.01049,           0.0098727,           0.0098727
                   3,            0.058226,            0.013346,             0.00562,             0.78667,             0.52427,             0.65253,             0.21104,            0.056393,            0.013036,           0.0040512,            0.009901,            0.009901,            0.009901
                   4,            0.052549,            0.012597,           0.0039974,             0.61183,             0.73368,             0.71042,             0.23165,            0.052293,            0.011182,           0.0031261,            0.009901,            0.009901,            0.009901
                   5,            0.050103,            0.012193,           0.0031905,             0.75602,             0.71964,             0.76732,             0.31276,            0.049594,           0.0096489,           0.0030081,            0.009868,            0.009868,            0.009868
                   6,            0.047565,            0.012112,           0.0027981,             0.83392,             0.63888,             0.70087,             0.27587,            0.052996,            0.010069,           0.0044629,            0.009835,            0.009835,            0.009835
                   7,            0.046216,            0.012065,           0.0021234,             0.83394,             0.83539,             0.87157,             0.35582,            0.044524,           0.0093346,           0.0014568,            0.009802,            0.009802,            0.009802
                   8,            0.045096,            0.011853,           0.0019057,             0.83155,             0.77544,              0.8145,             0.31107,            0.046827,           0.0093415,           0.0024739,            0.009769,            0.009769,            0.009769
                   9,            0.044803,             0.01201,           0.0018836,             0.77991,             0.77124,             0.79075,             0.35808,            0.042147,            0.009473,             0.00204,            0.009736,            0.009736,            0.009736
                  10,            0.044381,            0.011697,           0.0016391,             0.87882,             0.80546,             0.85302,             0.36202,            0.041921,            0.009122,           0.0019236,            0.009703,            0.009703,            0.009703
                  11,            0.043661,             0.01184,           0.0016618,             0.72694,              0.6719,             0.73217,             0.26021,            0.049727,           0.0098117,            0.011952,             0.00967,             0.00967,             0.00967
                  12,            0.042713,            0.011702,           0.0014502,             0.83071,             0.81232,             0.85645,             0.35717,            0.043046,           0.0089309,           0.0014216,            0.009637,            0.009637,            0.009637
                  13,            0.042592,            0.011477,           0.0013487,             0.86415,             0.85674,             0.87014,             0.40115,            0.040588,           0.0090764,           0.0012348,            0.009604,            0.009604,            0.009604
                  14,            0.042202,            0.011183,           0.0010017,             0.85889,             0.83153,             0.86756,              0.3703,            0.045387,           0.0090573,           0.0012604,            0.009571,            0.009571,            0.009571
                  15,            0.042017,            0.011567,           0.0011907,             0.84287,             0.83347,             0.87633,             0.37069,            0.043717,           0.0089228,          0.00097368,            0.009538,            0.009538,            0.009538
                  16,            0.041692,            0.011495,           0.0010625,             0.88625,             0.87073,             0.90783,             0.42421,            0.040883,             0.00897,          0.00075978,            0.009505,            0.009505,            0.009505
                  17,            0.041432,            0.011543,           0.0009416,             0.85635,             0.84891,             0.88618,             0.40125,            0.041058,           0.0090137,           0.0011975,            0.009472,            0.009472,            0.009472
                  18,            0.040937,            0.011524,            0.001154,             0.86947,             0.85411,             0.90412,             0.41864,            0.038816,           0.0088761,          0.00083511,            0.009439,            0.009439,            0.009439
                  19,            0.040689,            0.011245,           0.0010822,             0.88859,              0.8548,             0.91102,             0.41023,            0.039477,           0.0088918,          0.00099964,            0.009406,            0.009406,            0.009406
                  20,            0.040663,            0.011351,          0.00094573,              0.7857,             0.83547,             0.86542,             0.40278,            0.038862,           0.0089002,           0.0045796,            0.009373,            0.009373,            0.009373
                  21,            0.040509,            0.011241,            0.000883,             0.86987,             0.81817,             0.87661,             0.39717,            0.041596,           0.0089211,            0.001069,             0.00934,             0.00934,             0.00934
                  22,            0.040847,            0.011127,           0.0010374,             0.85627,             0.86171,             0.89599,             0.41346,            0.038521,           0.0087926,          0.00097843,            0.009307,            0.009307,            0.009307
                  23,            0.040073,            0.011237,          0.00085255,             0.83186,             0.87112,             0.89366,             0.40339,            0.039417,           0.0088339,           0.0014299,            0.009274,            0.009274,            0.009274
                  24,            0.040326,            0.011211,          0.00078852,             0.86161,             0.86589,             0.91085,             0.42075,            0.039761,             0.00912,          0.00071597,            0.009241,            0.009241,            0.009241
                  25,            0.039797,            0.011223,          0.00063921,             0.87857,             0.86423,             0.90772,             0.41695,            0.039172,           0.0086754,          0.00080269,            0.009208,            0.009208,            0.009208
                  26,            0.039536,            0.011216,          0.00077549,             0.88002,             0.89331,             0.90977,             0.41726,            0.039647,           0.0088758,           0.0006909,            0.009175,            0.009175,            0.009175
                  27,            0.039567,            0.011332,          0.00082074,             0.88927,             0.86655,             0.91447,             0.42431,            0.038815,           0.0089293,           0.0007316,            0.009142,            0.009142,            0.009142
                  28,            0.039705,            0.011152,           0.0010644,             0.90009,              0.8765,             0.91749,             0.44179,            0.038133,           0.0087957,           0.0010318,            0.009109,            0.009109,            0.009109
                  29,            0.039669,            0.011131,          0.00082177,             0.89277,             0.86838,             0.91477,             0.43153,            0.038585,           0.0086795,          0.00090995,            0.009076,            0.009076,            0.009076
                  30,            0.039298,            0.011227,          0.00094513,             0.90237,             0.84051,             0.89283,              0.4166,            0.038481,            0.008743,          0.00091027,            0.009043,            0.009043,            0.009043
                  31,            0.039862,            0.010962,          0.00074548,             0.85824,             0.84381,             0.88376,             0.36534,            0.043279,           0.0090147,          0.00068231,             0.00901,             0.00901,             0.00901
                  32,            0.039196,            0.011131,          0.00052399,             0.88144,              0.8696,              0.9151,             0.44135,             0.03815,           0.0087013,          0.00076492,            0.008977,            0.008977,            0.008977
                  33,            0.038913,            0.011062,          0.00065057,             0.88903,             0.87756,             0.91563,             0.44019,            0.038261,           0.0087711,          0.00050383,            0.008944,            0.008944,            0.008944
                  34,            0.038698,            0.011211,          0.00067073,             0.86736,             0.89609,             0.90701,             0.42776,            0.037709,           0.0088196,          0.00048674,            0.008911,            0.008911,            0.008911
                  35,              0.0391,            0.010878,          0.00079055,             0.88107,             0.83246,             0.86805,             0.38908,            0.040892,           0.0091019,            0.001827,            0.008878,            0.008878,            0.008878
                  36,            0.038931,            0.010897,          0.00073236,             0.89392,             0.85096,             0.90219,             0.41867,            0.038631,           0.0086872,          0.00050372,            0.008845,            0.008845,            0.008845
                  37,            0.038833,            0.011008,          0.00062789,             0.87978,             0.86097,             0.90657,             0.44106,            0.037358,           0.0086842,           0.0005603,            0.008812,            0.008812,            0.008812
                  38,            0.038711,            0.010828,          0.00046109,             0.86418,             0.86605,             0.88967,             0.42661,            0.038135,           0.0087113,           0.0011696,            0.008779,            0.008779,            0.008779
                  39,            0.038687,            0.011131,          0.00041566,             0.87424,             0.88995,             0.90985,             0.43388,            0.038288,           0.0087034,          0.00044219,            0.008746,            0.008746,            0.008746
                  40,            0.038387,            0.011027,          0.00037139,              0.9029,              0.8722,             0.91084,             0.44508,            0.037226,             0.00869,          0.00048624,            0.008713,            0.008713,            0.008713
                  41,            0.038214,            0.010779,          0.00058897,             0.79604,             0.81077,             0.83123,             0.39052,             0.03781,           0.0087889,           0.0042853,             0.00868,             0.00868,             0.00868
                  42,            0.038354,            0.010983,          0.00057643,             0.88755,             0.90709,             0.92324,             0.44705,            0.038101,           0.0087069,          0.00049992,            0.008647,            0.008647,            0.008647
