epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
25,0.56858566,0.90827506,0.0590515,0.56910179,0.90942577,0.05861577,False,706.01,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
26,0.56854045,0.9082101,0.05903591,0.56914358,0.90988603,0.05802985,False,706.43,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
27,0.56858898,0.90827791,0.05905553,0.56909826,0.90933503,0.05874305,False,703.72,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
28,0.56855108,0.90821591,0.05905377,0.56912308,0.90970729,0.05824671,False,705.38,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
29,0.56855136,0.90821105,0.05906176,0.56916193,0.91001947,0.05787555,False,705.66,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
30,0.56864443,0.90841002,0.05899599,0.56909751,0.90912424,0.05905736,False,705.41,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
31,0.56860796,0.90830762,0.0590584,0.56915979,0.9100048,0.05789221,False,705.01,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
32,0.56860304,0.90832269,0.05902349,0.56911765,0.90883284,0.0595448,False,705.06,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
33,0.56860007,0.9082916,0.05906272,0.56919379,0.90846561,0.06028601,False,706.38,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
34,0.56855871,0.90825434,0.0590152,0.56916469,0.90856997,0.06005671,False,705.02,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
35,0.56855656,0.90821935,0.05906231,0.56923559,0.90834907,0.06056531,False,704.51,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
36,0.5686023,0.90830849,0.05904296,0.56910846,0.90892192,0.05938819,False,704.61,0.0,0.0,0.0,0.0,892,0,0.0,0.0,0.0,0.0,968,0,0.0,0.0,0.0,0.0,52,0,0.0,0.0,0.0,0.0
