epoch,train_loss,train_dice_loss,train_rmse_loss,val_loss,val_dice_loss,val_rmse_loss,is_best,epoch_time_sec,green_P,green_R,green_mAP50,green_mAP50_95,green_instances,green_preds,red_P,red_R,red_mAP50,red_mAP50_95,red_instances,red_preds,aqua_P,aqua_R,aqua_mAP50,aqua_mAP50_95,aqua_instances,aqua_preds,overall_P,overall_R,overall_mAP50,overall_mAP50_95
1,0.61890819,1.0,0.04727041,0.61888649,1.0,0.04721616,True,703.05,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
2,0.61889697,1.0,0.04724238,0.61888649,1.0,0.04721616,False,706.19,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
3,0.61888679,1.0,0.04721691,0.61888649,1.0,0.04721616,False,701.79,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
4,0.61889529,1.0,0.04723817,0.61888649,1.0,0.04721616,False,785.81,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
5,0.61890327,1.0,0.04725813,0.61888649,1.0,0.04721616,False,706.65,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
6,0.61889236,1.0,0.04723085,0.61888649,1.0,0.04721616,False,703.65,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
7,0.61889772,1.0,0.04724424,0.61888649,1.0,0.04721616,False,703.45,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
8,0.61889699,1.0,0.04724241,0.61888649,1.0,0.04721616,False,704.36,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
9,0.61888956,1.0,0.04722384,0.61888649,1.0,0.04721616,False,703.74,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
10,0.61889917,1.0,0.04724787,0.61888649,1.0,0.04721616,False,704.12,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
11,0.61890271,1.0,0.04725672,0.61888649,1.0,0.04721616,False,703.48,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
12,0.61890171,1.0,0.04725421,0.61888649,1.0,0.04721616,False,704.77,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
13,0.61889466,1.0,0.0472366,0.61888649,1.0,0.04721616,False,704.94,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
14,0.61890645,1.0,0.04726607,0.61888649,1.0,0.04721616,False,704.14,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
15,0.61890996,1.0,0.04727485,0.61888649,1.0,0.04721616,False,704.8,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
16,0.61890162,1.0,0.04725399,0.61888649,1.0,0.04721616,False,705.26,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
17,0.61890281,1.0,0.04725697,0.61888649,1.0,0.04721616,False,705.29,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
18,0.6189178,1.0,0.04729445,0.61888649,1.0,0.04721616,False,704.19,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
19,0.61889915,1.0,0.04724781,0.61888649,1.0,0.04721616,False,704.91,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
20,0.61889076,1.0,0.04722684,0.61888649,1.0,0.04721616,False,705.04,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
21,0.61889515,1.0,0.04723781,0.61888649,1.0,0.04721616,False,705.41,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
22,0.61889902,1.0,0.04724749,0.61888649,1.0,0.04721616,False,705.46,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
23,0.61890049,1.0,0.04725117,0.61888649,1.0,0.04721616,False,703.73,0.0,0.0,0.0,0.0,902,0,0.0,0.0,0.0,0.0,1000,0,0.0,0.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0
