               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10968,            0.036949,            0.041507,             0.37148,             0.21211,            0.098528,            0.021502,            0.083287,            0.024146,            0.031611,             0.07039,             0.00329,             0.00329
                   1,            0.081025,            0.028201,            0.024081,             0.45189,             0.51848,             0.26721,            0.082606,            0.074245,             0.02054,            0.017877,            0.040258,           0.0064922,           0.0064922
                   2,            0.076729,            0.024848,            0.015704,             0.36032,             0.29851,            0.094773,             0.02276,            0.087837,            0.019649,            0.015941,           0.0099953,           0.0095624,           0.0095624
                   3,            0.069711,            0.024582,             0.01478,             0.53085,             0.38094,             0.34525,             0.11889,            0.066217,             0.01956,            0.014181,            0.009406,            0.009406,            0.009406
                   4,            0.062781,            0.023643,            0.013387,             0.67507,             0.49047,             0.46392,             0.14385,            0.057783,            0.019648,            0.014027,            0.009406,            0.009406,            0.009406
                   5,            0.057786,            0.022786,            0.012991,             0.75119,             0.52016,             0.56099,             0.21578,             0.05254,            0.019295,            0.012438,            0.009208,            0.009208,            0.009208
                   6,            0.056592,            0.023368,            0.012194,             0.68465,             0.45566,             0.45342,             0.14729,            0.059478,            0.020189,            0.013662,             0.00901,             0.00901,             0.00901
                   7,             0.05419,            0.023586,            0.011425,             0.82319,             0.55367,             0.62291,             0.26083,            0.049348,            0.019642,            0.012588,            0.008812,            0.008812,            0.008812
                   8,            0.052117,            0.023011,            0.010876,              0.8406,             0.56332,             0.63572,             0.26632,            0.047994,            0.019379,              0.0124,            0.008614,            0.008614,            0.008614
                   9,            0.051024,             0.02289,            0.010565,             0.85816,              0.5761,             0.72362,             0.27843,            0.049287,            0.020108,            0.011687,            0.008416,            0.008416,            0.008416
                  10,            0.050361,            0.022976,            0.010082,             0.88728,             0.59915,             0.78051,             0.33606,            0.046411,            0.018975,            0.010576,            0.008218,            0.008218,            0.008218
                  11,            0.048216,            0.022628,           0.0094541,             0.87426,             0.60921,              0.8371,             0.35293,            0.046038,            0.019174,            0.010429,             0.00802,             0.00802,             0.00802
                  12,            0.048403,            0.022741,           0.0092539,             0.59421,              0.7995,             0.82197,             0.33016,            0.046414,             0.01931,            0.010431,            0.007822,            0.007822,            0.007822
                  13,            0.047573,            0.021393,           0.0084174,             0.66649,              0.7542,             0.80027,             0.32871,            0.046287,            0.019496,           0.0095259,            0.007624,            0.007624,            0.007624
                  14,            0.047475,            0.022503,           0.0087876,             0.79406,             0.78515,             0.83094,             0.35162,            0.044671,             0.01936,            0.009408,            0.007426,            0.007426,            0.007426
                  15,            0.046129,            0.022553,           0.0079792,             0.77368,             0.72613,              0.7721,             0.30969,            0.048189,            0.019074,           0.0073785,            0.007228,            0.007228,            0.007228
                  16,            0.045388,            0.020873,           0.0069396,             0.83453,             0.78885,             0.86472,              0.3653,            0.044623,            0.018674,           0.0071888,             0.00703,             0.00703,             0.00703
                  17,            0.045916,            0.021922,           0.0068183,             0.80557,             0.77421,             0.82028,             0.34978,            0.044546,             0.01892,            0.007398,            0.006832,            0.006832,            0.006832
                  18,             0.04535,            0.022091,           0.0065417,             0.83548,             0.80381,             0.85421,             0.36444,            0.044169,             0.01864,           0.0063862,            0.006634,            0.006634,            0.006634
                  19,            0.044781,            0.021515,           0.0065091,             0.81205,             0.77905,             0.83545,             0.37115,            0.044027,            0.018935,           0.0074999,            0.006436,            0.006436,            0.006436
                  20,            0.044153,            0.020954,           0.0068743,             0.83106,             0.77858,             0.84577,             0.35257,            0.044725,            0.019278,           0.0073898,            0.006238,            0.006238,            0.006238
                  21,            0.043785,            0.021857,           0.0059888,             0.80476,             0.80977,             0.84583,             0.36744,            0.043895,            0.018525,           0.0052838,             0.00604,             0.00604,             0.00604
                  22,             0.04292,            0.021091,           0.0057229,             0.83176,              0.7731,             0.84467,             0.37902,            0.042431,            0.018414,           0.0077247,            0.005842,            0.005842,            0.005842
                  23,            0.043063,            0.021423,           0.0056146,             0.84301,             0.80134,             0.85761,             0.38995,            0.042436,             0.01853,           0.0051181,            0.005644,            0.005644,            0.005644
                  24,            0.043015,            0.020885,           0.0052324,             0.84259,             0.82114,             0.87696,              0.3983,            0.042209,            0.018564,           0.0052978,            0.005446,            0.005446,            0.005446
